x,y,z
-0.033371,0.866749,-0.185703
-0.033371,0.684957,-0.354254
0.027615,0.563763,-0.400222
0.073354,0.654658,-0.27764
0.012368,0.821301,-0.201026
-0.033371,0.791002,-0.185703
0.058107,0.594061,-0.185703
0.134339,0.41227,-0.185703
0.042861,0.336523,-0.124411
-0.262067,0.245627,0.013493
-0.414531,0.154731,0.182044
-0.307806,0.245627,0.258658
-0.124849,0.563763,0.197367
-0.07911,0.821301,0.228013
-0.124849,0.745554,0.503823
-0.140096,0.457717,0.733665
-0.155342,0.351672,0.641728
-0.140096,0.472867,0.565114
-0.124849,0.62436,0.886893
-0.246821,0.472867,1.46916
-0.536502,0.003238,1.65303
-0.719459,-0.405793,1.19335
-0.521256,-0.345195,0.733665
-0.323053,-0.042209,0.840925
-0.414531,0.124432,1.23932
-0.67372,-0.057359,1.13206
